date      ,title
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,1.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,2.0
2018-01-05,0.0
2018-01-06,1.0
2018-01-07,1.0
2018-01-08,3.0
2018-01-09,0.0
2018-01-10,2.0
2018-01-11,1.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,2.0
2018-01-18,0.0
2018-01-19,1.0
2018-01-20,0.0
2018-01-21,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,0.0
2018-01-25,1.0
2018-01-26,0.0
2018-01-27,1.0
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,2.0
2018-02-01,0.0
2018-02-02,2.0
2018-02-03,0.0
2018-02-04,1.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,2.0
2018-02-08,1.0
2018-02-09,4.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,1.0
2018-02-13,2.0
2018-02-14,3.0
2018-02-15,3.0
2018-02-16,2.0
2018-02-17,3.0
2018-02-18,1.0
2018-02-19,3.0
2018-02-20,0.0
2018-02-21,1.0
2018-02-22,0.0
2018-02-23,2.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,1.0
2018-02-27,0.0
2018-02-28,5.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,1.0
2018-03-06,3.0
2018-03-07,0.0
2018-03-08,1.0
2018-03-09,5.0
2018-03-10,7.0
2018-03-11,1.0
2018-03-12,4.0
2018-03-13,3.0
2018-03-14,2.0
2018-03-15,0.0
2018-03-16,2.0
2018-03-17,0.0
2018-03-18,1.0
2018-03-19,2.0
2018-03-20,2.0
2018-03-21,1.0
2018-03-22,2.0
2018-03-23,0.0
2018-03-24,2.0
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,0.0
